河北频道,#genre#
河北公共,http://121.18.43.254:10000/hls/46/index.m3u8
河北公共,http://121.24.98.203:8090/hls/31/index.m3u8
河北农民,http://121.24.98.203:8090/hls/27/index.m3u8
河北农民,http://121.18.43.254:10000/hls/47/index.m3u8
河北卫视,http://120.7.86.44:808/hls/17/index.m3u8
河北少儿,http://120.211.119.222:8899/hls/61/index.m3u8
河北影视,http://120.7.86.44:808/hls/52/index.m3u8
河北影视,http://120.211.119.222:8899/hls/60/index.m3u8
河北影视,http://121.18.43.254:10000/hls/44/index.m3u8
河北经济,http://121.18.43.254:10000/hls/42/index.m3u8
河北都市,http://120.211.119.222:8899/hls/59/index.m3u8
河北都市,http://121.18.43.254:10000/hls/43/index.m3u8
石家庄娱乐,http://120.211.119.222:8899/hls/65/index.m3u8
石家庄生活,http://120.211.119.222:8899/hls/66/index.m3u8
央视频道,#genre#
CCTV1,http://120.7.86.44:808/hls/1/index.m3u8
CCTV1,http://120.211.119.222:8899/hls/69/index.m3u8
CCTV1,http://101.75.215.51:8008/hls/1/index.m3u8
CCTV1,http://121.24.98.203:8090/hls/9/index.m3u8
CCTV1,http://120.211.119.222:8899/hls/1/index.m3u8
CCTV1,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV2,http://121.18.43.254:10000/hls/2/index.m3u8
CCTV2,http://121.24.98.203:8090/hls/10/index.m3u8
CCTV3,http://121.18.43.254:10000/hls/3/index.m3u8
CCTV3,http://101.75.215.51:8008/hls/3/index.m3u8
CCTV3,http://121.24.98.203:8090/hls/11/index.m3u8
CCTV4,http://101.75.215.51:8008/hls/4/index.m3u8
CCTV4,http://121.18.43.254:10000/hls/4/index.m3u8
CCTV5,http://101.75.215.51:8008/hls/5/index.m3u8
CCTV5,http://121.18.43.254:10000/hls/5/index.m3u8
CCTV5+,http://121.18.43.254:10000/hls/17/index.m3u8
CCTV6,http://120.7.86.44:808/hls/6/index.m3u8
CCTV6,http://120.211.119.222:8899/hls/73/index.m3u8
CCTV6,http://101.75.215.51:8008/hls/6/index.m3u8
CCTV6,http://120.211.119.222:8899/hls/6/index.m3u8
CCTV6,http://121.24.98.203:8090/hls/14/index.m3u8
CCTV6,http://121.18.43.254:10000/hls/6/index.m3u8
CCTV7,http://120.7.86.44:808/hls/7/index.m3u8
CCTV7,http://120.211.119.222:8899/hls/74/index.m3u8
CCTV7,http://101.75.215.51:8008/hls/7/index.m3u8
CCTV7,http://120.211.119.222:8899/hls/7/index.m3u8
CCTV7,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV8,http://120.7.86.44:808/hls/8/index.m3u8
CCTV8,http://120.211.119.222:8899/hls/8/index.m3u8
CCTV8,http://101.75.215.51:8008/hls/8/index.m3u8
CCTV8,http://120.211.119.222:8899/hls/75/index.m3u8
CCTV8,http://121.18.43.254:10000/hls/8/index.m3u8
CCTV9,http://120.7.86.44:808/hls/9/index.m3u8
CCTV9,http://101.75.215.51:8008/hls/9/index.m3u8
CCTV9,http://120.211.119.222:8899/hls/76/index.m3u8
CCTV9,http://120.211.119.222:8899/hls/9/index.m3u8
CCTV9,http://121.18.43.254:10000/hls/9/index.m3u8
CCTV10,http://120.7.86.44:808/hls/10/index.m3u8
CCTV10,http://120.211.119.222:8899/hls/10/index.m3u8
CCTV10,http://101.75.215.51:8008/hls/10/index.m3u8
CCTV10,http://120.211.119.222:8899/hls/77/index.m3u8
CCTV10,http://121.24.98.203:8090/hls/18/index.m3u8
CCTV10,http://121.18.43.254:10000/hls/10/index.m3u8
CCTV11,http://120.7.86.44:808/hls/11/index.m3u8
CCTV11,http://120.211.119.222:8899/hls/11/index.m3u8
CCTV11,http://121.18.43.254:10000/hls/11/index.m3u8
CCTV11,http://121.24.98.203:8090/hls/19/index.m3u8
CCTV12,http://120.211.119.222:8899/hls/12/index.m3u8
CCTV12,http://101.75.215.51:8008/hls/12/index.m3u8
CCTV12,http://120.211.119.222:8899/hls/79/index.m3u8
CCTV12,http://121.18.43.254:10000/hls/12/index.m3u8
CCTV13,http://120.7.86.44:808/hls/13/index.m3u8
CCTV13,http://120.211.119.222:8899/hls/13/index.m3u8
CCTV13,http://121.18.43.254:10000/hls/13/index.m3u8
CCTV13,http://121.24.98.203:8090/hls/21/index.m3u8
CCTV14,http://120.211.119.222:8899/hls/80/index.m3u8
